ANO,NOME,IDADE_ALUNO,FASE_TURMA,UNIDADE,ANO_INGRESSO,PEDRA,PONTO_VIRADA,INDE,INDE_CONCEITO,IAA,IEG,IPS,IDA,IPP,IPV,IAN,ANOS_PM,INSTITUICAO_ENSINO_ALUNO,DESTAQUE_IEG,DESTAQUE_IDA,DESTAQUE_IPV,REC_AVA_1,REC_AVA_2,REC_AVA_3,REC_AVA_4,NIVEL_IDEAL,DEFASAGEM,SINALIZADOR_INGRESSANTE,CG,CF,CT,NOTA_PORT,NOTA_MAT,NOTA_ING,QTD_AVAL,BOLSISTA,INDICADO_BOLSA
2021,ALUNO-1278,10.0,0P,,,Ágata,Não,5.67,,8.0,4.2,7.5,4.6,6.3,6.2,5.0,2.0,Escola Pública,,,,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não avaliado,Nível 2 (5o e 6o ano),-2.0,Veterano,,,,,,,,,
2021,ALUNO-1279,,5L,Cipó,,Quartzo,Não,4.73,,8.3,1.9,0.0,3.8,7.3,5.1,10.0,1.0,Escola Pública,,,,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Nível 5 (1o EM),0.0,Ingressante,,,,,,,,,
2021,ALUNO-1280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1281,17.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1282,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1284,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1285,9.0,1J,Filipinho,,Topázio,Sim,8.41,,9.0,10.0,7.5,5.9,7.7,9.1,10.0,,Escola Pública,,,,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Não avaliado,Nível 1 (4o ano),0.0,Veterano,,,,,,,,,
2021,ALUNO-1286,,0K,Cipó,,Ametista,Não,8.02,,10.0,8.3,7.5,6.5,7.8,7.6,10.0,1.0,Escola Pública,,,,Mantido na Fase atual,Mantido na Fase + Bolsa,Não avaliado,Não avaliado,ALFA  (2o e 3o ano),0.0,Ingressante,,,,,,,,,
2021,ALUNO-1287,11.0,0J,Filipinho,,Ametista,Não,7.55,,8.0,10.0,7.5,5.3,7.5,8.4,5.0,,Escola Pública,,,,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não avaliado,Nível 2 (5o e 6o ano),-2.0,Veterano,,,,,,,,,
2021,ALUNO-1288,17.0,7A,Centro,,Ágata,Não,6.79,,8.8,7.2,5.6,5.8,6.7,5.4,10.0,5.0,Rede Decisão,,,,Mantido na Fase atual,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Nível 7 (3o EM),0.0,Veterano,,,,,,,,,
2021,ALUNO-1289,13.0,2L,Cipó,,Ágata,Não,6.86,,8.5,7.9,7.5,4.8,7.9,7.1,5.0,,Escola Pública,,,,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),-1.0,Veterano,,,,,,,,,
2021,ALUNO-1290,19.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1291,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1292,12.0,3A,Centro,,Topázio,Não,8.61,,9.6,9.7,7.5,6.7,8.8,8.7,10.0,2.0,Rede Decisão,,,,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Não avaliado,Nível 3 (7o e 8o ano),0.0,Veterano,,,,,,,,,
2021,ALUNO-1293,13.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1294,17.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1296,11.0,1G,Filipinho,,Ágata,Não,6.84,,9.5,8.8,7.5,3.5,7.5,7.2,5.0,2.0,Escola Pública,,,,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),-1.0,Veterano,,,,,,,,,
2021,ALUNO-1297,19.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1298,9.0,0O,Cipó,,Ametista,Não,7.52,,10.0,8.3,7.5,6.4,7.5,7.8,5.0,2.0,Escola Pública,,,,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Nível 1 (4o ano),-1.0,Veterano,,,,,,,,,
2021,ALUNO-1299,15.0,7A,Centro,,Ametista,Não,7.94,,7.1,8.3,7.5,7.2,8.3,7.8,10.0,4.0,Rede Decisão,,,,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Nível 7 (3o EM),0.0,Veterano,,,,,,,,,
2021,ALUNO-1300,,1J,Filipinho,,Ametista,Não,7.3,,9.0,8.8,7.5,5.3,7.9,7.8,5.0,1.0,Escola Pública,,,,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Não avaliado,Nível 2 (5o e 6o ano),-1.0,Ingressante,,,,,,,,,
2021,ALUNO-1301,,3D,Centro,,Ametista,Não,7.98,,9.6,7.5,7.5,6.0,8.3,8.7,10.0,1.0,Escola Pública,,,,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Não avaliado,Nível 3 (7o e 8o ano),0.0,Ingressante,,,,,,,,,
2021,ALUNO-1302,12.0,1R,Granjinha,,Quartzo,Não,3.83,,0.0,3.3,7.5,0.6,7.2,5.3,5.0,2.0,Escola Pública,,,,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),-2.0,Veterano,,,,,,,,,
2021,ALUNO-1303,14.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1307,,2B,Centro,,Ametista,Não,6.92,,7.0,6.7,7.5,4.8,7.5,7.2,10.0,1.0,Escola Pública,,,,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),0.0,Ingressante,,,,,,,,,
2021,ALUNO-1308,,3D,Centro,,Quartzo,Não,4.89,,7.1,3.3,2.5,2.3,7.5,7.8,5.0,1.0,Escola Pública,,,,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 4 (9o ano),-1.0,Ingressante,,,,,,,,,
2021,ALUNO-1309,18.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1310,,3A,Centro,,Ágata,Não,6.62,,9.2,5.3,7.5,3.5,7.5,7.2,10.0,1.0,Escola Pública,,,,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),0.0,Ingressante,,,,,,,,,
2021,ALUNO-1311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1313,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1315,13.0,2B,Centro,,Quartzo,Não,5.08,,8.9,3.8,4.4,4.3,5.0,5.7,5.0,5.0,Rede Decisão,,,,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),-1.0,Veterano,,,,,,,,,
2021,ALUNO-1316,11.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1318,21.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1319,11.0,2R,Granjinha,,Ametista,Não,7.57,,6.4,8.3,5.0,6.3,8.1,8.4,10.0,2.0,Escola Pública,,,,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),0.0,Veterano,,,,,,,,,
2021,ALUNO-1320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1323,11.0,2N,Cipó,,Ametista,Não,7.52,,8.0,8.8,5.6,5.1,7.9,7.9,10.0,2.0,Escola Pública,,,,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),0.0,Veterano,,,,,,,,,
2021,ALUNO-1324,11.0,2J,,,Ametista,Não,7.19,,8.5,8.8,7.5,3.4,7.5,7.1,10.0,3.0,Escola Pública,,,,Alocado em Fase anterior,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),0.0,Veterano,,,,,,,,,
2021,ALUNO-1325,14.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1326,,2K,Cipó,,Quartzo,Não,4.4,,9.0,3.8,5.6,1.3,6.9,3.7,5.0,,Escola Pública,,,,Mantido na Fase atual,Não avaliado,Mantido na Fase atual,Não avaliado,Nível 4 (9o ano),-2.0,Veterano,,,,,,,,,
2021,ALUNO-1327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
